symbol	arm	disease_logfc	kd_lfc
BCL6	disease_up	1.5301996340150092	-0.2215680651370498
EMP1	disease_up	1.8692197547807856	-0.2204164477302848
UBE2S	disease_up	1.3977380769100165	-0.2157030424396042
H2AX	disease_up	1.3840632816986458	-0.2112556380912959
NCAPH	disease_up	1.589003730479797	-0.2103129501634296
GFI1	disease_up	1.6274040408724717	-0.2100031915740859
IL4I1	disease_up	1.8523746911626224	-0.2098013894289079
HSPA2	disease_up	1.4021187509728557	-0.2091828368336002
DAPK2	disease_up	2.174614541128764	-0.208137928016351
CD58	disease_up	1.6004730437496546	-0.2040575343716123
SLC1A4	disease_up	1.460275184039452	-0.2013222346685295
VASH1	disease_up	1.5388447443996391	-0.2008997036137435
CXCL13	disease_up	4.149277364260812	-0.2000804128400269
CCL20	disease_up	2.202179695772727	-0.1999690644987629
HELZ2	disease_up	1.4203227577645376	-0.1993453268900859
CLU	disease_up	1.4517047826004144	-0.1967172724571819
CALCB	disease_up	1.308831355894762	-0.1931182584125323
TSPOAP1	disease_up	1.662173001086925	-0.192949795569594
ID1	disease_up	1.7873250495073678	-0.1886208940685284
CKS2	disease_up	1.5105252609774018	-0.1866799906228797
HSPA1B	disease_up	3.3663586605543774	-0.185061173896747
WHRN	disease_up	2.0432928438398883	-0.1847944660586438
ALOX5AP	disease_up	1.242248172652206	-0.1816450213357641
RASD1	disease_up	1.450360056718975	-0.1802625967898236
JUN	disease_up	1.4155237365933986	-0.1748307677592191
STX11	disease_up	1.4791012938524266	-0.173109234508129
GRAMD4	disease_up	1.4801503510267808	-0.1699376716994332
ANKRD28	disease_up	1.6347439861594273	-0.1668162387388673
SLC6A6	disease_up	1.689902574475093	-0.164837102320091
SLC7A5	disease_up	1.4652771906404984	-0.1636576048308208
FAM13A	disease_down	-0.7387221988916207	1.1048651602658008
PLXNA4	disease_down	-1.390107669134746	1.0808586871202526
ZNF462	disease_down	-0.7272931876767132	1.038185010762275
EDAR	disease_down	-1.3304612208969764	0.9062729568348198
PLAC8	disease_down	-1.1228666245104435	0.8892369910373646
TBXA2R	disease_down	-0.7689274363791305	0.884267364162157
PI16	disease_down	-1.6774899741491789	0.878572230055856
FOXP3	disease_down	-0.9773774591626974	0.8458201902271382
GPA33	disease_down	-1.831487497283031	0.8422831313142981
C1orf162	disease_down	-2.2314389945811475	0.7876577584968611
EDA	disease_down	-1.191443213704939	0.7707804879116482
TTC24	disease_down	-0.9468268901895708	0.7586405598497202
TXK	disease_down	-0.8905189109586881	0.7326297794051271
FUT7	disease_down	-0.9723263417376128	0.7114786526889492
TCF7	disease_down	-0.8176050381950373	0.7022284214684336
PLAG1	disease_down	-1.0528145963915607	0.6808879503007019
ARMH2	disease_down	-0.8117378809240879	0.5921033284837146
LY9	disease_down	-1.149132321351337	0.5885150744923466
HOOK1	disease_down	-0.7866263515517983	0.5838159606039999
TMEM63A	disease_down	-0.6916993714576933	0.5766699755360686
FCGRT	disease_down	-1.3534396836221434	0.5431675739147434
CLEC11A	disease_down	-1.399577525991592	0.5360314812711187
EGLN3	disease_down	-1.000912520803253	0.524885972427557
FGFBP2	disease_down	-1.7474309120749858	0.5221671151860344
SULT1B1	disease_down	-1.4725948510233051	0.51974096954151
TMC4	disease_down	-0.9139285533406736	0.5072175358906972
KANK1	disease_down	-0.9781797808986308	0.506718141297649
VIPR1	disease_down	-1.485904145451845	0.4942223711889892
DIP2C	disease_down	-0.9113141027304288	0.4860444643885202
LIME1	disease_down	-0.8127807378705563	0.4841750630488518
IL18BP	disease_down	-0.8070515186019785	0.4823416686558495
TENM1	disease_down	-0.8099167201032942	0.4788278362067671
BEX3	disease_down	-1.8903964833275149	0.4702910538834357
RIPOR2	disease_down	-0.6915827026697499	0.46372387846585
LEF1	disease_down	-1.0582084739099211	0.4599004456135163
DAPK1	disease_down	-0.9892783228494516	0.4556977832569153
C16orf74	disease_down	-1.0174621897643903	0.4509798504293776
WNT7A	disease_down	-1.2293094621662506	0.4488218915905893
MAL	disease_down	-0.8037145403330278	0.4483062598166054
FCMR	disease_down	-0.6679238643842828	0.44613128901264
SWAP70	disease_down	-0.7495752925242488	0.4432883829788577
NOG	disease_down	-1.803981866456602	0.432582837081018
IGF1R	disease_down	-0.7465641550784524	0.4243003715264744
CELA1	disease_down	-0.9434710892896876	0.4222942344089561
AIG1	disease_down	-0.8378773451609944	0.4180188108237249
MFGE8	disease_down	-0.9026493452858008	0.415107659430088
CD27	disease_down	-0.691503690255161	0.4112965607083478
SOCS2	disease_down	-0.6912123419901116	0.4064179328980936
ARHGAP32	disease_down	-1.2727322727882646	0.3855872269012431
P2RX7	disease_down	-0.743303956210454	0.3736078001509245
C11orf65	disease_down	-0.7957572846881878	0.372651016453946
MEOX1	disease_down	-1.6338077141480196	0.3721321993631549
ARHGEF11	disease_down	-1.0344442491605672	0.3678076213896269
TAFA2	disease_down	-1.2646723129842703	0.3652338331104839
SBK1	disease_down	-0.7992108019162827	0.3638385013622637
CITED4	disease_down	-0.9242409955892936	0.3635007410098528
ECRG4	disease_down	-1.2892299207728757	0.352754304411446
MINDY1	disease_down	-0.7266682970087496	0.3515721433244791
NPDC1	disease_down	-0.7641587674140579	0.3499167996699587
BIN2	disease_down	-0.8376174911152046	0.3483552174933511
USP6NL	disease_down	-0.7423849349052819	0.3432094930493591
PPP1R3F	disease_down	-0.6995077503175166	0.3408977134549714
TRIB2	disease_down	-1.0540243906197908	0.3370494348662671
GABBR1	disease_down	-0.6530523870583446	0.3314355047572246
NOS3	disease_down	-0.6849696576957617	0.3222426657243564
NOSIP	disease_down	-1.4553104559201602	0.3217021982108727
TEX14	disease_down	-0.9256910822014888	0.3005426814638564
RASGRP2	disease_down	-0.6994155917275292	0.2894354032380821
FRY	disease_down	-0.6878875224292246	0.282365909826037
DCHS1	disease_down	-0.7341884867863073	0.2813794016414792
MARCKSL1	disease_down	-0.8069031399802042	0.2809044299904726
ICAM2	disease_down	-0.7391992324211786	0.2774238935771972
LIMS2	disease_down	-1.5430780931948604	0.2767212807134222
MCRIP2	disease_down	-0.6617181155685272	0.274309370907568
C12orf42	disease_down	-0.7951560671680103	0.2724046570724885
SELL	disease_down	-0.8638931383336538	0.2701636150924759
ARMH1	disease_down	-0.9869512882029152	0.2685039151512107
FHIT	disease_down	-1.4877977224436192	0.2377789782769752
TSPAN32	disease_down	-0.987714623127471	0.2370545132302024
SPIN3	disease_down	-0.8927044669095253	0.235884720930941
SMAGP	disease_down	-0.6655936188999028	0.2347544236953946
KDF1	disease_down	-0.6927350666158852	0.23089367410411
NAV1	disease_down	-0.8768770196643136	0.2255244878063877
LTA4H	disease_down	-0.8669292530675332	0.2230247345660923
MICU3	disease_down	-0.8228838879600403	0.2204282752648324
CR1	disease_down	-2.918448228974233	0.2157153724551417
EFHC2	disease_down	-0.9470498408519548	0.2111770608060941
CDC25B	disease_down	-1.232702258971	0.2035239975275855
LDLRAP1	disease_down	-0.7264208844633365	0.2012808662985391
AK5	disease_down	-2.732160792042076	0.1994043445272246
TLE2	disease_down	-0.6889569720303277	0.1957210866949635
HACD1	disease_down	-0.6915077365799118	0.1917553213996252
HAVCR1	disease_down	-1.014310803306656	0.1898636081326138
ST6GALNAC1	disease_down	-1.093842454020536	0.1896324426756259
NBEA	disease_down	-0.8207288971841623	0.1879886561444964
CCDC102B	disease_down	-1.5182301958755615	0.1878749006513587
