	target	guide	responder	donor	condition	n
RIPK1|RIPK1-2|KO|D3|Stim48hr	RIPK1	RIPK1-2	KO	D3	Stim48hr	25
RIPK1|RIPK1-2|NP|D1|Rest	RIPK1	RIPK1-2	NP	D1	Rest	47
RIPK1|RIPK1-2|NP|D2|Rest	RIPK1	RIPK1-2	NP	D2	Rest	41
RIPK1|RIPK1-2|NP|D2|Stim8hr	RIPK1	RIPK1-2	NP	D2	Stim8hr	29
RIPK1|RIPK1-2|NP|D3|Rest	RIPK1	RIPK1-2	NP	D3	Rest	25
RIPK1|RIPK1-2|NP|D3|Stim48hr	RIPK1	RIPK1-2	NP	D3	Stim48hr	33
NTC|ALL|NTC|D1|Rest	NTC	ALL	NTC	D1	Rest	3000
NTC|ALL|NTC|D1|Stim48hr	NTC	ALL	NTC	D1	Stim48hr	3000
NTC|ALL|NTC|D1|Stim8hr	NTC	ALL	NTC	D1	Stim8hr	3000
NTC|ALL|NTC|D2|Rest	NTC	ALL	NTC	D2	Rest	3000
NTC|ALL|NTC|D2|Stim8hr	NTC	ALL	NTC	D2	Stim8hr	3000
NTC|ALL|NTC|D3|Rest	NTC	ALL	NTC	D3	Rest	3000
NTC|ALL|NTC|D3|Stim48hr	NTC	ALL	NTC	D3	Stim48hr	3000
NTC|ALL|NTC|D3|Stim8hr	NTC	ALL	NTC	D3	Stim8hr	3000
NTC|ALL|NTC|D4|Rest	NTC	ALL	NTC	D4	Rest	3000
NTC|ALL|NTC|D4|Stim48hr	NTC	ALL	NTC	D4	Stim48hr	3000
NTC|ALL|NTC|D4|Stim8hr	NTC	ALL	NTC	D4	Stim8hr	3000
